"mean_AUCs"	"GOs_with_AUC"	"sd_AUCs"	"no.go.above.AUC80"	"no.unnanotated.prots"	"total.prots"	"total.predicted.go"
"20-1-0-0.2-S2"	0.45	1	NA	0.1	292.6	1378	3.9
"5-TRUE-TRUE-0.2-ppi"	0.51	2.9	0.08	0	2977.1	5437	15.9
"5-1-1-0.2-S4"	0.51	36.7	0.16	2.4	518.1	2289	250.9
"5-FALSE-FALSE-0.2-ppi"	0.52	3.8	0.07	0	1328	5437	36.9
"15-TRUE-TRUE-0.2-ppi"	0.53	2.9	0.06	0	3066.8	5437	15.9
"20-0-1-0.2-S2"	0.53	36.7	0.22	4.7	336.9	1378	105.4
"5-1-1-0.5-S4"	0.53	91.2	0.18	9	590.6	2289	250.4
"30-1-1-0.2-S2"	0.54	1.9	NA	0.2	293.1	1378	7.8
"15-1-1-0.2-S4"	0.54	8.5	0.14	0.5	498.8	2289	45.7
"10-1-1-0.2-S4"	0.54	15.7	0.15	1	501.5	2289	85.8
"20-0-1-0.2-S3"	0.55	68.3	0.19	7.6	680.9	3391	440.3
"20-1-0-0.2-S3"	0.55	171.2	0.19	19.7	823.3	3391	439.1
"15-1-1-0.5-S4"	0.55	21.5	0.16	1.4	524	2289	45.7
"20-FALSE-FALSE-0.2-ppi"	0.56	3.2	0.07	0	1328	5437	36
"15-FALSE-FALSE-0.2-ppi"	0.56	2.8	NA	0	1328	5437	36
"5-1-1-0.5-S2"	0.56	14.5	0.22	2.3	306.9	1378	106.1
"10-0-0-0.2-S4"	0.56	50.1	0.16	4.1	0	2289	365.7
"25-TRUE-TRUE-0.2-ppi"	0.57	3	0.06	0	2861.4	5437	16
"5-1-1-0.5-S1"	0.57	167.4	0.2	23.4	898.5	3565	430.4
"20-FALSE-FALSE-0.5-ppi"	0.58	8.5	0.09	0	1328	5437	35.9
"15-FALSE-FALSE-0.5-ppi"	0.58	7.2	0.09	0.1	1328	5437	35.6
"5-1-1-0.2-S1"	0.58	67.5	0.19	10.1	768	3565	431.3
"40-1-1-0.2-S3"	0.58	155.4	0.18	20.6	1	3391	1191.4
"5-0-0-0.2-S1"	0.59	160.9	0.19	25.3	2	3565	1203
"5-1-1-0.5-S3"	0.6	9.5	0.18	1.4	627	3391	54.8
"25-1-1-0.2-S4"	0.6	3	0.14	0.3	484.7	2289	18.8
"15-1-1-0.2-S1"	0.61	14.5	0.17	1.7	718.4	3565	89.8
"15-1-1-0.5-S1"	0.61	37.5	0.19	7.5	774.6	3565	89.6
"25-1-1-0.5-S3"	0.61	24.9	0.16	3.9	665.2	3391	55.9
"20-1-1-0.2-S4"	0.61	6	0.18	1	492.2	2289	28.4
"20-0-0-0.2-S4"	0.61	25	0.15	2.9	0	2289	190
"15-0-0-0.2-S4"	0.61	35	0.16	4.5	0	2289	233.9
"25-0-0-0.2-S4"	0.61	19.9	0.16	2.5	0	2289	148.4
"25-1-1-0.5-S4"	0.61	8	0.14	1.1	500.2	2289	19
"5-1-1-0.5-Complet"	0.61	283.5	0.21	52.2	1715.8	5760	695
"20-1-1-0.5-S3"	0.62	15.7	0.19	2.9	642.4	3391	85.6
"15-1-1-0.5-S3"	0.62	39.1	0.18	7.3	685	3391	85.8
"20-1-1-0.5-S4"	0.62	13.6	0.19	2.9	503.7	2289	28.4
"20-1-0-0.2-S4"	0.62	9.2	0.16	1.1	3.2	2289	79.7
"5-1-1-0.2-Inte"	0.62	113.3	0.2	20.6	1411.8	5730	693.2
"5-1-1-0.5-Inte"	0.62	284.6	0.19	52.8	1714.5	5730	692.1
"20-1-1-0.2-S1"	0.63	9.9	0.19	2.2	712	3565	54.1
"15-1-1-0.5-S2"	0.63	3	0.12	0.5	296.8	1378	16.9
"25-1-1-0.5-S2"	0.63	7.9	0.19	1.5	307.1	1378	16.8
"5-0-0-0.2-S3"	0.63	55.9	0.18	11.2	1	3391	358.6
"20-0-1-0.2-S4"	0.63	13.7	0.17	2.7	160.6	2289	71.3
"5-1-1-0.2-Complet"	0.63	113.4	0.2	24.9	1416.7	5760	697.3
"20-1-1-0.5-Complet"	0.63	50.5	0.18	8.8	1420.4	5760	106
"15-0-0-0.2-S1"	0.64	54.9	0.18	11.5	2	3565	381.3
"20-1-1-0.5-S1"	0.64	25.5	0.18	5.5	746.3	3565	54.1
"10-0-0-0.2-S2"	0.64	24.4	0.2	5.5	0	1378	210.2
"20-1-1-0.5-S2"	0.64	4.8	0.18	1.1	0.9	1378	40.6
"80-1-1-0.5-complet"	0.64	2	0.17	0.4	1276.1	5760	4
"55-1-1-0.5-complet"	0.64	7	0.19	1.6	1297.1	5760	15
"25-1-1-0.2-S1"	0.65	7	0.18	1.5	708.2	3565	36.8
"20-0-0-0.2-S3"	0.65	40.1	0.17	9	1	3391	270.7
