Table 1. Mean AUC and standard deviation for 50 GO terms reandomly sampled with condition minGOsize=20. 

Purpose of table is to see how stable the AUC of each GO is. "5r" means 5 replicates. In each replicate, I calculate the average AUC of the k-folds (k=5). "sd":standard deviation
Results in each replicate differ because of different fold-partition in the cross-validation. 
Standard deviation across replicates decreases very slighly as the number of replicates increases. So, it does not make sense to increase #replicates. For 50GOterms 5 replicates takes 2hours.
The standard deviation across replicates is very high considering that all GO terms have pretty much the similar AUC. However, this is taking 50 GO terms among those that are already very good (minGOsize=20)
The mean AUC of the 50 GO terms is stable with 5 replicates, but the value is very dissapointing considering that these 50 GOs are randomly chosen among those with minGOsize=20.
CONCLUSSIONS: 1. I may be doing something wrong to get so low AUC 
			  2. Does it come as a surprise that sd across replicates is so high?


go	mean_AUC_5r	sd_AUC_5r	mean_AUC_10r	sd_AUC_10r	mean_AUC_15r	sd_AUC_15r
go_1	0.5349	0.1139	0.5121	0.1299	0.509	0.1138
go_2	0.5224	0.0962	0.5175	0.1093	0.502	0.1041
go_3	0.491	0.1325	0.4913	0.1209	0.5149	0.1222
go_4	0.5158	0.1278	0.5151	0.1162	0.5059	0.1168
go_5	0.4586	0.1518	0.4674	0.1464	0.4709	0.1317
go_6	0.5006	0.1268	0.4894	0.1164	0.4924	0.1187
go_7	0.4986	0.1443	0.5212	0.1171	0.5144	0.1172
go_8	0.4738	0.0825	0.4886	0.1011	0.4892	0.1034
go_9	0.4576	0.1362	0.479	0.1305	0.488	0.1262
go_10	0.531	0.099	0.5007	0.0986	0.4946	0.0995
go_11	0.4916	0.0953	0.5221	0.0933	0.5154	0.0946
go_12	0.5287	0.1354	0.5156	0.1152	0.5139	0.1159
go_13	0.4859	0.0823	0.4775	0.1064	0.4827	0.0981
go_14	0.4859	0.1022	0.4903	0.1402	0.4986	0.1383
go_15	0.483	0.0855	0.4842	0.1088	0.4846	0.1191
go_16	0.5055	0.0967	0.4983	0.0847	0.5028	0.0871
go_17	0.479	0.1151	0.4829	0.1293	0.4945	0.1278
go_18	0.4915	0.0651	0.4882	0.0743	0.4921	0.0789
go_19	0.4758	0.1242	0.497	0.118	0.4972	0.1125
go_20	0.4993	0.103	0.5039	0.0934	0.5045	0.1002
go_21	0.4945	0.0971	0.5142	0.1069	0.507	0.1059
go_22	0.4859	0.0882	0.4918	0.0773	0.4994	0.0763
go_23	0.5017	0.1063	0.5244	0.1045	0.5107	0.1049
go_24	0.4927	0.0958	0.4622	0.0928	0.4757	0.0923
go_25	0.4913	0.1382	0.4831	0.1395	0.5221	0.1292
go_26	0.5136	0.1326	0.5202	0.1361	0.5235	0.1333
go_27	0.5325	0.0999	0.5192	0.0791	0.5113	0.0829
go_28	0.4872	0.1327	0.478	0.1267	0.4774	0.128
go_29	0.4605	0.136	0.4661	0.1134	0.4854	0.1214
go_30	0.4854	0.0839	0.4995	0.0773	0.492	0.0757
go_31	0.5269	0.0994	0.5006	0.0992	0.5076	0.1061
go_32	0.4913	0.0766	0.5045	0.0777	0.4854	0.0847
go_33	0.5546	0.1336	0.5537	0.1403	0.5452	0.1399
go_34	0.5044	0.1129	0.5098	0.104	0.5011	0.1062
go_35	0.5337	0.1161	0.5265	0.1253	0.5107	0.1299
go_36	0.4648	0.1641	0.4667	0.1386	0.4581	0.1347
go_37	0.5023	0.1296	0.5076	0.1097	0.5183	0.1186
go_38	0.5051	0.1338	0.5088	0.1138	0.5063	0.114
go_39	0.481	0.0796	0.4866	0.0939	0.4834	0.0871
go_40	0.4972	0.0852	0.497	0.0863	0.4973	0.0888
go_41	0.5037	0.1724	0.5025	0.1628	0.4981	0.1574
go_42	0.4924	0.1089	0.4893	0.111	0.4846	0.1088
go_43	0.4998	0.1014	0.5134	0.1035	0.5056	0.1097
go_44	0.4642	0.0747	0.4873	0.0855	0.4915	0.0874
go_45	0.521	0.0886	0.4952	0.0813	0.4982	0.0922
go_46	0.4883	0.103	0.4866	0.098	0.5056	0.1027
go_47	0.5322	0.135	0.5217	0.1207	0.5184	0.126
go_48	0.4729	0.1221	0.4752	0.1399	0.493	0.1256
go_49	0.4814	0.1195	0.4861	0.1197	0.4788	0.1176
go_50	0.4928	0.132	0.4916	0.1377	0.4935	0.133
Mean	0.4973	0.1123	0.4982	0.1111	0.4991	0.1109
