Table 2. Why some GO get higher AUC?

#proteins: #proteins of the GO term
#conexions: I search in the network how many times that set of proteins appear
mean_#conexions: #conexions/#proteins

These are the same GO as in table1. sorted by mean_AUC_5r.
CONCLUSSIONS:
1. I cannot conclude whether #proteins, #conexions, mean_#conexions. However, a similar table sampling 50 or more GO terms among the total of GOs (without condition minGOsize=20), may allow us to see more. 


go	mean_AUC_5r	sd_AUC_5r	#proteins	#conexions	mean_#conexions
go_33	0.5546	0.1336	21	4484	213.5238
go_1	0.5349	0.1139	37	7077	191.2703
go_35	0.5337	0.1161	23	4806	208.9565
go_27	0.5325	0.0999	47	6914	147.1064
go_47	0.5322	0.135	22	3583	162.8636
go_10	0.531	0.099	39	7472	191.5897
go_12	0.5287	0.1354	20	4946	247.3
go_31	0.5269	0.0994	36	6831	189.75
go_2	0.5224	0.0962	27	8361	309.6667
go_45	0.521	0.0886	41	9136	222.8293
go_4	0.5158	0.1278	21	4227	201.2857
go_26	0.5136	0.1326	23	3662	159.2174
go_16	0.5055	0.0967	45	5850	130
go_38	0.5051	0.1338	44	9953	226.2045
go_34	0.5044	0.1129	39	5092	130.5641
go_41	0.5037	0.1724	21	3269	155.6667
go_37	0.5023	0.1296	23	3642	158.3478
go_23	0.5017	0.1063	29	6154	212.2069
go_6	0.5006	0.1268	32	8214	256.6875
go_43	0.4998	0.1014	28	3697	132.0357
go_20	0.4993	0.103	28	3812	136.1429
go_7	0.4986	0.1443	30	14836	494.5333
go_40	0.4972	0.0852	50	10013	200.26
go_21	0.4945	0.0971	28	6222	222.2143
go_50	0.4928	0.132	25	3624	144.96
go_24	0.4927	0.0958	33	5051	153.0606
go_42	0.4924	0.1089	25	4906	196.24
go_11	0.4916	0.0953	42	10297	245.1667
go_18	0.4915	0.0651	60	11986	199.7667
go_25	0.4913	0.1382	21	3221	153.381
go_32	0.4913	0.0766	47	6327	134.617
go_3	0.491	0.1325	21	2786	132.6667
go_46	0.4883	0.103	33	5040	152.7273
go_28	0.4872	0.1327	27	3830	141.8519
go_13	0.4859	0.0823	29	4421	152.4483
go_14	0.4859	0.1022	22	3262	148.2727
go_22	0.4859	0.0882	49	7681	156.7551
go_30	0.4854	0.0839	55	10351	188.2
go_15	0.483	0.0855	29	5014	172.8966
go_49	0.4814	0.1195	28	4955	176.9643
go_39	0.481	0.0796	50	11828	236.56
go_17	0.479	0.1151	20	5223	261.15
go_19	0.4758	0.1242	24	5079	211.625
go_8	0.4738	0.0825	32	16413	512.9062
go_48	0.4729	0.1221	26	11631	447.3462
go_36	0.4648	0.1641	23	3267	142.0435
go_44	0.4642	0.0747	41	5411	131.9756
go_29	0.4605	0.136	22	3552	161.4545
go_5	0.4586	0.1518	20	3289	164.45
go_9	0.4576	0.1362	23	4954	215.3913
