LCE6A	IPR031716
TRBC2	IPR007110
TRBC2	IPR013783
TRBC2	IPR003597
KANSL1L	IPR029332
KANSL1L	IPR026180
SLC12A8	IPR004841
RBM47	IPR034445
RBM47	IPR034440
RBM47	IPR000504
RBM47	IPR006535
RBM47	IPR034442
TTC26	IPR030511
TTC26	IPR013026
TTC26	IPR019734
TTC26	IPR011990
FER1L5	IPR006614
FER1L5	IPR032362
FER1L5	IPR029997
FER1L5	IPR012968
FER1L5	IPR012560
FER1L5	IPR012561
FER1L5	IPR000008
TMEM129	IPR018801
E2F8	IPR015633
E2F8	IPR003316
E2F8	IPR011991
UBA6	IPR032418
UBA6	IPR018075
UBA6	IPR000011
UBA6	IPR018965
UBA6	IPR000594
UBA6	IPR032420
UBA6	IPR019572
ESYT2	IPR031468
ESYT2	IPR000008
ESYT3	IPR031468
ESYT3	IPR000008
MED19	IPR019403
UHRF1BP1L	IPR026854
UHRF1BP1L	IPR026728
POTEB3	IPR002110
POTEB3	IPR020683
IGLC7	IPR007110
IGLC7	IPR013783
IGLC7	IPR003597
IGLC7	IPR003006
PLSCR5	IPR005552
PLSCR5	IPR025659
SLC5A10	IPR018212
SLC5A10	IPR001734
TMEM223	IPR026100
DAPL1	IPR024130
CIB4	IPR002048
CIB4	IPR018247
CIB4	IPR011992
TLDC2	IPR006571
SHISA3	IPR026910
TMEM82	IPR031648
FEZF1	IPR013087
GXYLT2	IPR002495
GXYLT2	IPR029044
TMEM120B	IPR012926
CLRN2	IPR026748
TMEM30CP	IPR005045
TMEM30CP	IPR030353
LNP1	IPR029280
ARHGAP10	IPR001452
ARHGAP10	IPR027267
ARHGAP10	IPR000198
ARHGAP10	IPR008936
ARHGAP10	IPR001849
ARHGAP10	IPR011993
CCDC189	IPR032727
IRGM	IPR007743
IRGM	IPR027417
IRGM	IPR030385
FAM170A	IPR033376
KRTAP23-1	IPR007951
ANO9	IPR007632
ANO9	IPR031290
SLC22A2	IPR020846
SLC22A2	IPR005828
SLC22A2	IPR005829
ODAM	IPR026802
ARHGEF37	IPR011511
ARHGEF37	IPR001452
ARHGEF37	IPR027267
ARHGEF37	IPR004148
ARHGEF37	IPR000219
FAM168B	IPR029247
PXDNL	IPR003599
PXDNL	IPR007110
PXDNL	IPR013783
PXDNL	IPR013098
PXDNL	IPR003598
PXDNL	IPR003591
PXDNL	IPR010255
PXDNL	IPR001007
PXDNL	IPR034824
PXDNL	IPR032675
PXDNL	IPR001611
PXDNL	IPR029610
PXDNL	IPR000483
PXDNL	IPR019791
MEX3A	IPR004087
MEX3A	IPR001841
MEX3A	IPR013083
MEX3A	IPR004088
ILVBL	IPR029061
ILVBL	IPR029035
ILVBL	IPR011766
ILVBL	IPR000399
ILVBL	IPR012001
ILVBL	IPR012000
TSPAN11	IPR000301
TSPAN11	IPR018499
TSPAN11	IPR008952
ERICH2	IPR026703
UBE2QL1	IPR016135
UBE2QL1	IPR000608
C1orf226	IPR027851
NDUFAF8	IPR034595
SYCE3	IPR028145
IGSF23	IPR007110
IGSF23	IPR013783
PLEKHG3	IPR001849
PLEKHG3	IPR011993
PLEKHG3	IPR000219
ELOVL7	IPR002076
ELOVL7	IPR030457
ELOVL7	IPR033670
MT1DP	IPR003019
MT1DP	IPR023587
MT1DP	IPR000006
MT1DP	IPR017854
GAGE12E	IPR008625
GAGE12D	IPR008625
GAGE12C	IPR008625
GAGE12B	IPR008625
GAGE12E	IPR031320
GAGE12D	IPR031320
GAGE12C	IPR031320
GAGE12B	IPR031320
NUTM2F	IPR024310
NUTM2F	IPR024309
PRSS38	IPR033116
PRSS38	IPR009003
PRSS38	IPR001254
PRSS38	IPR001314
PRSS38	IPR018114
SSC5D	IPR017448
SSC5D	IPR001190
FSD2	IPR013783
FSD2	IPR003879
FSD2	IPR003961
FSD2	IPR013320
FSD2	IPR001870
FSD2	IPR003877
PLAC8L1	IPR006461
SH3PXD2B	IPR001452
SH3PXD2B	IPR030512
SH3PXD2B	IPR011511
SH3PXD2B	IPR001683
FAM92A	IPR027267
FAM92A	IPR009602
ZBTB7C	IPR011333
ZBTB7C	IPR016024
ZBTB7C	IPR013087
ZBTB7C	IPR000210
MACROD2	IPR002589
ZC3H12D	IPR021869
ZC3H12D	IPR000571
FRMD3	IPR019749
FRMD3	IPR019748
FRMD3	IPR019747
FRMD3	IPR029071
FRMD3	IPR014847
FRMD3	IPR014352
FRMD3	IPR000798
FRMD3	IPR018979
FRMD3	IPR011993
FRMD3	IPR018980
FRMD3	IPR000299
MAGEB16	IPR002190
MAGEB16	IPR021072
PTPDC1	IPR016130
PTPDC1	IPR000340
PTPDC1	IPR029021
PTPDC1	IPR003595
PTPDC1	IPR000387
PTPDC1	IPR020422
TTC24	IPR024812
TTC24	IPR013026
TTC24	IPR019734
TTC24	IPR011990
CXorf23	IPR029199
DYTN	IPR000433
DYTN	IPR015154
DYTN	IPR011992
DYTN	IPR015153
CCDC78	IPR029329
IGKV2-29	IPR007110
IGKV2-29	IPR013783
IGKV2-29	IPR013106
HFM1	IPR004179
HFM1	IPR011545
HFM1	IPR001650
HFM1	IPR014001
HFM1	IPR011991
HFM1	IPR027417
ZNF320	IPR001909
ZNF320	IPR013083
ZNF320	IPR013087
WDR27	IPR001680
WDR27	IPR017986
WDR27	IPR015943
WDR27	IPR011047
TMEM213	IPR028121
NBAS	IPR013244
NBAS	IPR011044
NBAS	IPR015943
NBAS	IPR011990
NBAS	IPR029145
TARSL2	IPR004154
TARSL2	IPR004095
TARSL2	IPR018163
TARSL2	IPR002314
TARSL2	IPR033728
TARSL2	IPR006195
TARSL2	IPR012947
TARSL2	IPR012676
TARSL2	IPR002320
TARSL2	IPR012675
HEATR9	IPR016024
HEATR9	IPR011989
TMEM218	IPR026771
TESPA1	IPR026647
TESPA1	IPR029325
SMCO3	IPR027895
HYKK	IPR002575
HYKK	IPR011009
FAM234B	IPR011047
MEIOC	IPR027963
TYW5	IPR029612
TYW5	IPR003347
XKRY2	IPR018629
MYBPHL	IPR003599
MYBPHL	IPR003598
MYBPHL	IPR013783
MYBPHL	IPR013098
MYBPHL	IPR007110
MYBPHL	IPR003961
CCDC144A	IPR021885
DENND3	IPR017986
DENND3	IPR001680
DENND3	IPR015943
DENND3	IPR019775
DENND3	IPR001194
DENND3	IPR005113
DENND3	IPR005112
TMEM89	IPR028069
CLPSL1	IPR001981
DCDC2B	IPR003533
KIAA0922	IPR013783
KIAA0922	IPR022113
SSPO	IPR006207
SSPO	IPR023415
SSPO	IPR000884
SSPO	IPR002919
SSPO	IPR000421
SSPO	IPR030119
SSPO	IPR014853
SSPO	IPR008979
SSPO	IPR001007
SSPO	IPR002172
SSPO	IPR008037
SSPO	IPR001846
OR2M5	IPR017452
OR2M5	IPR000276
OR2M5	IPR000725
SBNO1	IPR026741
SBNO1	IPR027417
SBNO1	IPR026937
PRAMEF22	IPR026271
PRAMEF22	IPR032675
PRAMEF27	IPR026271
PRAMEF27	IPR032675
LAMB4	IPR013015
LAMB4	IPR008979
LAMB4	IPR002049
LAMB4	IPR008211
LINC009	IPR031742
CPED1	IPR025883
ISPD	IPR034683
ISPD	IPR018294
ISPD	IPR029044
FAM221A	IPR026755
GSAP	IPR026172
GSAP	IPR028010
ZNF804B	IPR013087
ZNF804B	IPR022755
GTPBP10	IPR006073
GTPBP10	IPR006169
GTPBP10	IPR031167
GTPBP10	IPR027417
LRRD1	IPR003591
LRRD1	IPR032675
LRRD1	IPR000488
LRRD1	IPR001611
WDR91	IPR017986
WDR91	IPR015943
WDR91	IPR001680
KLRG2	IPR033992
KLRG2	IPR016186
KLRG2	IPR001304
KLRG2	IPR016187
RAB19	IPR005225
RAB19	IPR027417
RAB19	IPR001806
PRSS37	IPR009003
PRSS37	IPR001254
PRSS37	IPR001314
LCHN	IPR018626
GRIFIN	IPR030641
GRIFIN	IPR013320
GRIFIN	IPR001079
CDC14C	IPR016130
CDC14C	IPR000340
CDC14C	IPR029260
CDC14C	IPR029021
CDC14C	IPR003595
CDC14C	IPR000387
CDC14C	IPR020422
C7orf72	IPR027867
MBLAC1	IPR001279
PMS2P1	IPR014762
PMS2P1	IPR003594
OR2A25	IPR017452
OR2A25	IPR000276
OR2A25	IPR000725
GRID2IP	IPR001478
GRID2IP	IPR015425
MTMR11	IPR030580
MTMR11	IPR029021
MTMR11	IPR022587
MTMR11	IPR030564
MTMR11	IPR010569
MTMR11	IPR011993
SH3D21	IPR001452
SH3D21	IPR013315
SH3D21	IPR011511
EFCAB5	IPR018247
EFCAB5	IPR002048
EFCAB5	IPR029016
EME2	IPR006166
EME2	IPR033310
SLC35F4	IPR009262
SLC35F4	IPR026505
C5orf49	IPR027901
LRP5L	IPR011042
LRP5L	IPR000033
PI4KAP2	IPR018936
PI4KAP2	IPR011009
PI4KAP2	IPR015433
PI4KAP2	IPR000403
XIRP2	IPR030107
XIRP2	IPR030072
XIRP2	IPR012510
POTEF	IPR002110
POTEF	IPR020902
POTEF	IPR020683
POTEF	IPR004000
POTEF	IPR004001
FITM1	IPR019388
CLEC18A	IPR001283
CLEC18A	IPR001304
CLEC18A	IPR014044
CLEC18A	IPR018378
CLEC18A	IPR000742
CLEC18A	IPR016186
CLEC18A	IPR016187
CLEC18A	IPR013032
VPS37C	IPR011598
VPS37C	IPR009851
CCDC151	IPR033192
CFAP69	IPR016024
CFAP69	IPR011989
PSMB11	IPR034385
PSMB11	IPR023333
PSMB11	IPR001353
PSMB11	IPR029055
PSMB11	IPR016050
PSMB11	IPR000243
KRBA1	IPR029317
